Manufacturer,Vehicle,year,category,MSRP(Min),MSRP(Max),comfort,driving,interior,overall rating,tech,utility,link
acura,2019 Acura MDX Hybrid,2019,suv,"$44,300 ","$60,050 ",8.0,8.0,7.5,8.0,7.5,9.0,https://www.edmunds.com/acura/mdx/2019/
acura,2019 Acura MDX SUV,2019,suv,"$44,300 ","$60,050 ",8.0,8.0,7.5,8.0,7.5,9.0,https://www.edmunds.com/acura/mdx/2019/
acura,2019 Acura NSX Coupe,2019,coupe,"$157,500 ","$157,500 ",6.9,8.5,7.5,6.9,5.5,4.0,https://www.edmunds.com/acura/nsx/2019/
acura,2020 Acura RDX SUV,2020,suv,"$37,600 ","$47,700 ",8.0,7.5,7.5,7.9,8.5,8.5,https://www.edmunds.com/acura/rdx/2020/
acura,2020 Acura TLX Sedan,2020,sedan,"$33,000 ","$48,950 ",8.0,7.5,8.0,7.5,7.0,7.0,https://www.edmunds.com/acura/tlx/2020/
audi,2019 Audi A4 Sedan,2019,sedan,"$37,400 ","$50,800 ",8.2,8.5,8.5,8.2,9.0,8.0,https://www.edmunds.com/audi/a4/2019/
audi,2019 Audi A4 allroad Wagon,2019,wagon,"$45,700 ","$53,900 ",8.1,7.5,9.0,8.1,8.0,8.5,https://www.edmunds.com/audi/a4-allroad/2019/
audi,2019 Audi A6 Sedan,2019,sedan,"$58,900 ","$67,100 ",8.2,9.0,8.0,8.2,9.0,7.0,https://www.edmunds.com/audi/a6/2019/
audi,2019 Audi A7 Sedan,2019,sedan,"$68,000 ","$76,300 ",8.1,8.5,7.5,8.1,9.0,7.5,https://www.edmunds.com/audi/a7/2019/
audi,2019 Audi Q5 SUV,2019,suv,"$42,950 ","$53,850 ",7.9,7.5,8.5,7.9,8.0,7.0,https://www.edmunds.com/audi/q5/2019/
audi,2019 Audi Q8 SUV,2019,suv,"$67,400 ","$76,550 ",7.8,7.5,7.5,7.8,8.0,7.5,https://www.edmunds.com/audi/q8/2019/
audi,2019 Audi RS 3 Sedan,2019,sedan,"$56,200 ","$56,200 ",7.9,8.5,8.0,7.9,8.0,8.0,https://www.edmunds.com/audi/rs-3/2019/
audi,2019 Audi S4 Sedan,2019,sedan,"$50,200 ","$57,800 ",8.5,9.0,8.5,8.5,8.5,7.5,https://www.edmunds.com/audi/s4/2019/
audi,2019 Audi SQ5 SUV,2019,suv,"$52,400 ","$62,100 ",7.7,7.5,8.5,7.7,7.0,7.5,https://www.edmunds.com/audi/sq5/2019/
audi,2019 Audi TT Convertible,2019,coupe,"$44,900 ","$44,900 ",8.3,8.5,8.5,8.3,8.0,7.0,https://www.edmunds.com/audi/tt/2019/
audi,2019 Audi TT Coupe,2019,coupe,"$44,900 ","$44,900 ",8.3,8.5,8.5,8.3,8.0,7.0,https://www.edmunds.com/audi/tt/2019/
bmw,2018 BMW 5 Series Diesel,2018,sedan,"$52,650 ","$73,900 ",8.1,8.0,8.0,8.1,8.5,8.0,https://www.edmunds.com/bmw/5-series/2018/
bmw,2019 BMW 3 Series Wagon,2019,sedan,"$40,250 ","$42,250 ",7.6,8.0,7.5,7.6,7.0,8.0,https://www.edmunds.com/bmw/3-series/2019/
bmw,2019 BMW 4 Series Convertible,2019,coupe,"$44,800 ","$53,200 ",7.9,4.0,8.0,7.9,8.0,7.5,https://www.edmunds.com/bmw/4-series/2019/
bmw,2019 BMW 4 Series Coupe,2019,coupe,"$44,800 ","$53,200 ",7.9,4.0,8.0,7.9,8.0,7.5,https://www.edmunds.com/bmw/4-series/2019/
bmw,2019 BMW 4 Series Gran Coupe Sedan,2019,sedan,"$44,600 ","$53,000 ",7.1,7.5,7.0,7.1,8.0,6.0,https://www.edmunds.com/bmw/4-series-gran-coupe/2019/
bmw,2019 BMW 5 Series Hybrid,2019,sedan,"$53,400 ","$74,450 ",8.1,8.0,8.0,8.1,8.5,8.0,https://www.edmunds.com/bmw/5-series/2019/
bmw,2019 BMW 5 Series M550i xDrive,2019,sedan,"$53,400 ","$74,450 ",8.1,8.0,8.0,8.1,8.5,8.0,https://www.edmunds.com/bmw/5-series/2019/
bmw,2019 BMW 5 Series Sedan,2019,sedan,"$53,400 ","$74,450 ",8.1,8.0,8.0,8.1,8.5,8.0,https://www.edmunds.com/bmw/5-series/2019/
bmw,2019 BMW 6 Series Gran Turismo Hatchback,2019,hatchback,"$70,300 ","$70,300 ",7.6,7.0,8.0,7.6,8.0,8.5,https://www.edmunds.com/bmw/6-series-gran-turismo/2019/
bmw,2019 BMW 8 Series Convertible,2019,coupe,"$111,900 ","$111,900 ",8.2,8.5,7.5,8.2,7.5,8.0,https://www.edmunds.com/bmw/8-series/2019/
bmw,2019 BMW 8 Series Coupe,2019,coupe,"$111,900 ","$111,900 ",8.2,8.5,7.5,8.2,7.5,8.0,https://www.edmunds.com/bmw/8-series/2019/
bmw,2019 BMW M5 Sedan,2019,sedan,"$102,700 ","$110,000 ",8.6,9.0,8.5,8.6,8.5,8.0,https://www.edmunds.com/bmw/m5/2019/
bmw,2019 BMW X2 M35i,2019,suv,"$36,400 ","$46,450 ",7.2,8.0,7.0,7.2,7.5,7.0,https://www.edmunds.com/bmw/x2/2019/
bmw,2019 BMW X2 SUV,2019,suv,"$36,400 ","$46,450 ",7.2,8.0,7.0,7.2,7.5,7.0,https://www.edmunds.com/bmw/x2/2019/
bmw,2019 BMW X3 M40i,2019,suv,"$41,000 ","$54,650 ",7.8,7.5,8.0,7.8,7.5,8.0,https://www.edmunds.com/bmw/x3/2019/
bmw,2019 BMW X4 M40i,2019,suv,"$50,450 ","$60,450 ",7.5,7.5,7.0,7.5,7.0,7.5,https://www.edmunds.com/bmw/x4/2019/
bmw,2019 BMW i3 Hatchback,2019,hatchback,"$44,450 ","$51,500 ",8.4,9.0,8.0,8.4,8.0,8.0,https://www.edmunds.com/bmw/i3/2019/
buick,2019 Buick Cascada Convertible,2019,convertible,"$33,070 ","$37,070 ",5.6,5.5,6.0,5.6,5.0,6.5,https://www.edmunds.com/buick/cascada/2019/
buick,2019 Buick LaCrosse Hybrid,2019,sedan,"$29,570 ","$47,070 ",6.3,6.0,7.0,6.3,7.5,6.0,https://www.edmunds.com/buick/lacrosse/2019/
buick,2019 Buick LaCrosse Sedan,2019,sedan,"$29,570 ","$47,070 ",6.3,6.0,7.0,6.3,7.5,6.0,https://www.edmunds.com/buick/lacrosse/2019/
buick,2019 Buick Regal Sportback GS,2019,sedan,"$25,070 ","$39,070 ",7.9,7.5,7.5,7.9,8.0,9.0,https://www.edmunds.com/buick/regal-sportback/2019/
buick,2019 Buick Regal Sportback Hatchback,2019,sedan,"$25,070 ","$39,070 ",7.9,7.5,7.5,7.9,8.0,9.0,https://www.edmunds.com/buick/regal-sportback/2019/
buick,2019 Buick Regal TourX Wagon,2019,wagon,"$29,070 ","$35,070 ",7.6,7.5,7.5,7.6,7.5,7.5,https://www.edmunds.com/buick/regal-tourx/2019/
buick,2020 Buick Envision SUV,2020,suv,"$31,995 ","$43,600 ",8.0,7.0,7.0,7.2,8.0,7.5,https://www.edmunds.com/buick/envision/2020/
chevrolet,2018 Chevrolet Silverado 3500HD Double Cab,2018,truck,"$35,260 ","$43,355 ",7.1,8.0,7.5,7.1,6.0,7.5,https://www.edmunds.com/chevrolet/silverado-3500hd/2018/
chevrolet,2018 Chevrolet Silverado 3500HD Regular Cab,2018,truck,"$35,260 ","$43,355 ",7.1,8.0,7.5,7.1,6.0,7.5,https://www.edmunds.com/chevrolet/silverado-3500hd/2018/
chevrolet,2019 Chevrolet Blazer SUV,2019,suv,"$28,800 ","$45,600 ",7.1,7.5,7.0,7.1,8.0,6.5,https://www.edmunds.com/chevrolet/blazer/2019/
chevrolet,2019 Chevrolet Bolt EV Hatchback,2019,hatchback,"$36,620 ","$41,020 ",7.9,8.5,8.5,7.9,7.5,8.0,https://www.edmunds.com/chevrolet/bolt-ev/2019/
chevrolet,2019 Chevrolet Camaro Convertible,2019,coupe,"$25,000 ","$62,000 ",7.4,9.0,6.5,7.4,7.0,5.0,https://www.edmunds.com/chevrolet/camaro/2019/
chevrolet,2019 Chevrolet Camaro Coupe,2019,coupe,"$25,000 ","$62,000 ",7.4,9.0,6.5,7.4,7.0,5.0,https://www.edmunds.com/chevrolet/camaro/2019/
chevrolet,2019 Chevrolet Camaro ZL1,2019,coupe,"$25,000 ","$62,000 ",7.4,9.0,6.5,7.4,7.0,5.0,https://www.edmunds.com/chevrolet/camaro/2019/
chevrolet,2019 Chevrolet Equinox Diesel,2019,suv,"$23,800 ","$35,700 ",7.4,8.0,7.0,7.4,8.0,7.5,https://www.edmunds.com/chevrolet/equinox/2019/
chevrolet,2019 Chevrolet Silverado 1500 Double Cab,2019,truck,"$28,300 ","$32,900 ",7.2,7.5,7.0,7.2,7.5,8.0,https://www.edmunds.com/chevrolet/silverado-1500/2019/
chevrolet,2019 Chevrolet Silverado 1500 Regular Cab,2019,truck,"$28,300 ","$32,900 ",7.2,7.5,7.0,7.2,7.5,8.0,https://www.edmunds.com/chevrolet/silverado-1500/2019/
chevrolet,2019 Chevrolet Silverado 2500HD Double Cab,2019,truck,"$37,600 ","$45,900 ",7.2,8.0,7.5,7.2,6.0,7.5,https://www.edmunds.com/chevrolet/silverado-2500hd/2019/
chevrolet,2019 Chevrolet Silverado 2500HD Regular Cab,2019,truck,"$37,600 ","$45,900 ",7.2,8.0,7.5,7.2,6.0,7.5,https://www.edmunds.com/chevrolet/silverado-2500hd/2019/
chevrolet,2019 Chevrolet Tahoe SUV,2019,suv,"$46,800 ","$65,700 ",7.0,6.5,7.5,7.0,7.5,6.0,https://www.edmunds.com/chevrolet/tahoe/2019/
chevrolet,2020 Chevrolet Equinox SUV,2020,suv,"$23,800 ","$35,700 ",7.0,8.0,7.0,7.4,8.0,7.5,https://www.edmunds.com/chevrolet/equinox/2020/
chrysler,2019 Chrysler 300 Sedan,2019,sedan,"$29,220 ","$41,695 ",7.6,7.5,8.0,7.6,8.0,7.5,https://www.edmunds.com/chrysler/300/2019/
chrysler,2019 Chrysler Pacifica Hybrid Minivan,2019,minivan,"$39,995 ","$45,545 ",7.9,7.0,8.5,7.9,8.5,8.0,https://www.edmunds.com/chrysler/pacifica-hybrid/2019/
chrysler,2019 Chrysler Pacifica Minivan,2019,minivan,"$26,985 ","$44,445 ",7.6,7.5,8.5,7.6,8.0,8.0,https://www.edmunds.com/chrysler/pacifica/2019/
dodge,2018 Dodge Charger SRT 392,2018,sedan,"$28,995 ","$66,295 ",7.4,8.0,7.0,7.4,8.0,6.5,https://www.edmunds.com/dodge/charger/2018/
dodge,2019 Dodge Challenger Coupe,2019,coupe,"$27,845 ","$69,995 ",7.8,7.5,7.5,7.8,8.0,8.0,https://www.edmunds.com/dodge/challenger/2019/
dodge,2019 Dodge Challenger R/T Scat Pack,2019,coupe,"$27,845 ","$69,995 ",7.8,7.5,7.5,7.8,8.0,8.0,https://www.edmunds.com/dodge/challenger/2019/
dodge,2019 Dodge Challenger SRT Hellcat,2019,coupe,"$27,845 ","$69,995 ",7.8,7.5,7.5,7.8,8.0,8.0,https://www.edmunds.com/dodge/challenger/2019/
dodge,2019 Dodge Challenger SRT Hellcat Redeye,2019,coupe,"$27,845 ","$69,995 ",7.8,7.5,7.5,7.8,8.0,8.0,https://www.edmunds.com/dodge/challenger/2019/
dodge,2019 Dodge Charger SRT Hellcat,2019,sedan,"$29,220 ","$65,545 ",7.4,8.0,7.0,7.4,8.0,6.5,https://www.edmunds.com/dodge/charger/2019/
dodge,2019 Dodge Journey SUV,2019,suv,"$22,995 ","$35,295 ",5.4,5.5,6.5,5.4,4.0,7.0,https://www.edmunds.com/dodge/journey/2019/
